,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007,"80,000",45000,Petrol
1,Mahindra Jeep CL550,Mahindra,2006,"4,25,000",40,Diesel
2,Maruti Suzuki Alto,Maruti,2018,Ask For Price,22000,Petrol
3,Hyundai Grand i10,Hyundai,2014,"3,25,000",28000,Petrol
4,Ford EcoSport Titanium,Ford,2014,"5,75,000",36000,Diesel
5,Ford EcoSport Titanium,Ford,2015,Ask For Price,59000,Diesel
6,Ford Figo,Ford,2012,"1,75,000",41000,Diesel
7,Hyundai Eon,Hyundai,2013,"1,90,000",25000,Petrol
8,Ford EcoSport Ambiente,Ford,2016,"8,30,000",24530,Diesel
9,Maruti Suzuki Alto,Maruti,2015,"2,50,000",60000,Petrol
10,Skoda Fabia Classic,Skoda,2010,"1,82,000",60000,Petrol
11,Maruti Suzuki Stingray,Maruti,2015,"3,15,000",30000,Petrol
12,Hyundai Elite i20,Hyundai,2014,"4,15,000",32000,Petrol
13,Mahindra Scorpio SLE,Mahindra,2015,"3,20,000",48660,Diesel
14,Hyundai Santro Xing,Hyundai,2007,"80,000",45000,Petrol
15,Mahindra Jeep CL550,Mahindra,2006,"4,25,000",40,Diesel
16,Audi A8,Audi,2017,"10,00,000",4000,Petrol
17,Audi Q7,Audi,2014,"5,00,000",16934,Diesel
18,Mahindra Scorpio S10,Mahindra,2016,"3,50,000",43000,Diesel
19,Maruti Suzuki Alto,Maruti,2014,"1,60,000",35550,Petrol
20,Mahindra Scorpio S10,Mahindra,2016,"3,50,000",43000,Diesel
21,Mahindra Scorpio S10,Mahindra,2016,"3,10,000",39522,Diesel
22,Maruti Suzuki Alto,Maruti,2015,"75,000",39000,Petrol
23,Hyundai i20 Sportz,Hyundai,2012,"1,00,000",55000,Petrol
24,Hyundai i20 Sportz,Hyundai,2012,"1,00,000",55000,Petrol
25,Hyundai i20 Sportz,Hyundai,2012,"1,00,000",55000,Petrol
26,Maruti Suzuki Alto,Maruti,2017,"1,90,000",72000,Petrol
27,Maruti Suzuki Vitara,Maruti,2016,"2,90,000",15975,Diesel
28,Maruti Suzuki Alto,Maruti,2008,"95,000",70000,Petrol
29,Mahindra Bolero DI,Mahindra,2017,"1,80,000",23452,Diesel
30,Maruti Suzuki Swift,Maruti,2014,"3,85,000",35522,Diesel
31,Mahindra Scorpio S10,Mahindra,2015,"2,50,000",48508,Diesel
32,Maruti Suzuki Swift,Maruti,2017,"1,80,000",15487,Petrol
33,Maruti Suzuki Wagon,Maruti,2013,"1,05,000",39000,Petrol
34,Maruti Suzuki Wagon,Maruti,2013,"1,05,000",39000,Petrol
35,Toyota Innova 2.0,Toyota,2012,"6,50,000",82000,Diesel
36,Renault Lodgy 85,Renault,2018,"6,89,999",20000,Diesel
37,Skoda Yeti Ambition,Skoda,2012,"4,48,000",68000,Diesel
38,Maruti Suzuki Baleno,Maruti,2017,"5,49,000",32000,Diesel
39,Renault Duster 110,Renault,2012,"5,01,000",38000,Diesel
40,Renault Duster 85,Renault,2013,"4,89,999",27000,Diesel
41,Honda City 1.5,Honda,2011,"2,80,000",33000,Petrol
42,Maruti Suzuki Alto,Maruti,2015,"2,50,000",60000,Petrol
43,Maruti Suzuki Dzire,Maruti,2013,"3,49,999",46000,Diesel
44,Honda Amaze,Honda,2013,"2,84,999",46000,Diesel
45,Honda Amaze 1.5,Honda,2015,"3,45,000",36000,Diesel
46,Honda City,Honda,2015,"4,99,999",55000,Petrol
47,Datsun Redi GO,Datsun,2017,"2,35,000",16000,Petrol
48,Maruti Suzuki SX4,Maruti,2010,"2,49,999",36000,Petrol
49,Mitsubishi Pajero Sport,Mitsubishi,2015,"14,75,000",47000,Diesel
50,Mahindra Bolero DI,Mahindra,2017,"1,80,000",23452,Diesel
51,Maruti Suzuki Swift,Maruti,2014,"3,85,000",35522,Diesel
52,Mahindra Scorpio S10,Mahindra,2015,"2,50,000",48508,Diesel
53,Maruti Suzuki Swift,Maruti,2017,"1,80,000",15487,Petrol
54,Maruti Suzuki Wagon,Maruti,2013,"1,05,000",39000,Petrol
55,Maruti Suzuki Wagon,Maruti,2013,"1,05,000",39000,Petrol
56,Mahindra Scorpio S10,Mahindra,2015,"3,95,000",35000,Diesel
57,Maruti Suzuki Swift,Maruti,2017,"2,20,000",30874,Petrol
58,Honda City ZX,Honda,2017,"1,70,000",15000,Diesel
59,Maruti Suzuki Wagon,Maruti,2013,"85,000",29685,Petrol
60,Ford Figo,Ford,2012,"1,75,000",41000,Diesel
61,Hyundai Eon,Hyundai,2013,"1,90,000",25000,Petrol
62,Tata Indigo eCS,Tata,2017,"2,00,000",130000,Diesel
63,Ford EcoSport Ambiente,Ford,2016,"8,30,000",24530,Diesel
64,Tata Indigo eCS,Tata,2017,"2,00,000",130000,Diesel
65,Mahindra Scorpio SLE,Mahindra,2012,"5,70,000",19000,Diesel
66,Volkswagen Polo Highline,Volkswagen,2014,"3,15,000",60000,Petrol
67,Skoda Fabia Classic,Skoda,2010,"1,82,000",60000,Petrol
68,Maruti Suzuki Stingray,Maruti,2015,"3,15,000",30000,Petrol
